# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[0]
Filename = mapRegion0.png
Name = Prism Outpost
Point = 3,7,Crashsite A,,,,,
Point = 21,2,Victory Road,,198,12,10,169
Point = 12,12,Girit Town,,,,,
Point = 11,15,Bonfire Island,,,,,
Point = 18,14,Eridhe Town,,,,,
Point = 19,14,Eridhe Town,,,,,
Point = 19,11,Route 14,,,,,
Point = 19,10,Route 14,,,,,
Point = 20,14,Route 15,,,,,
Point = 24,8,Route 17,,,,,
Point = 25,8,Route 17,,,,,
Point = 23,8,Route 17,,,,,
Point = 22,8,Route 17,,,,,
Point = 20,8,Argentum Caldera,,,,,
Point = 21,8,Argentum Caldera,,,,,
Point = 19,7,Route 18,,,,,
Point = 21,3,Route 21,,,,,
Point = 22,3,Route 21,,,,,
Point = 21,1,Pokémon League,,221,19,12,251
Point = 20,1,Pokémon League,,,,,
Point = 22,1,Pokémon League,,,,,
Point = 25,17,Sol Isles,,214,17,32,195
Point = 23,3,Ultra Space,,,,,154
Point = 28,4,Exeggutor Island,,,,,149
#-------------------------------
[1]
Name = Sol Isles
Filename = mapRegion0.png
#-------------------------------
[2]
Name = Essen
Filename = mapRegion0c.png
Point = 13,12,Lappet Town,Oak's Lab,2,8,8,
Point = 13,11,Route 1,,,,,
Point = 13,10,Cedolan City,Cedolan Dept. Store,7,47,11,
Point = 14,10,Cedolan City,,7,47,11,
Point = 14,9,Route 2,,,,,
Point = 14,8,Route 2,,,,,
Point = 15,8,Lerucean Town,,23,11,15,
Point = 16,8,Natural Park,,,,,
Point = 15,7,Route 3,,,,,
Point = 15,6,Route 3,Ice Cave,,,,
Point = 14,6,Route 3,,,,,
Point = 13,6,Ingido Plateau,,35,17,7,
Point = 12,6,Route 4,,,,,
Point = 11,6,Route 4,,,,,
Point = 11,7,Route 5,Cycle Road,,,,
Point = 11,8,Route 5,Cycle Road,,,,
Point = 11,9,Route 5,Cycle Road,,,,
Point = 11,10,Route 6,,,,,
Point = 12,10,Route 6,,,,,
Point = 15,10,Route 7,,,,,
Point = 16,10,Route 7,Rock Cave,,,,
Point = 17,10,Battle Frontier,,52,17,14,
Point = 12,12,Safari Zone,,,,,
Point = 13,13,Route 8,Diving area,,,,
Point = 18,17,Berth Island,,,,,51
Point = 22,16,Faraday Island,,,,,52
#-------------------------------
[3]
Name = Tiall
Filename = mapRegion1c.png
Point = 13,16,Here,,,,,
#-------------------------------
[4]
Filename = mapRegion0.png
Name = Alola
